em_arg_num,event_mention_id,event_mention_realis,event_mention_subtype,event_mention_type,event_mention_ways,file,hopper_id,label_polarity,trigger_context,trigger_length,trigger_offset,trigger_text
1,em-976,actual,die,life,,010aaf594ae6ef20eb28e3ee26038375,h-16,neg,"Even if you wanted to arrest Koresh and others and think they are killers, what excuse is there for killing the children?",7,2113,killing
3,em-1448,generic,startorg,business,,026bd1c7eae9f14da9480a4b88ba2fb6,h-1502,neg,"For the same reason the local Glock dealer would not open up a store in the same strip mall where 20 people got shot, 6 killed.",4,279,open
3,em-1637,generic,startorg,business,,026bd1c7eae9f14da9480a4b88ba2fb6,h-1502,neg,"For the same reason the local Glock dealer would not open up a store in the same strip mall where 20 people got shot, 6 killed.",4,4859,open
1,em-1110,generic,attack,conflict,,04134f2be20afbb868d7a8292f49e277,h-1140,neg,bride burning,7,2092,burning
1,em-1142,generic,die,life,,04134f2be20afbb868d7a8292f49e277,h-1163,neg,bride burning,7,2092,burning
1,em-1211,generic,attack,conflict,,04134f2be20afbb868d7a8292f49e277,h-1241,neg,female genital mutilation,10,2318,mutilation
1,em-1243,generic,injure,life,,04134f2be20afbb868d7a8292f49e277,h-1264,neg,female genital mutilation,10,2318,mutilation
2,em-1312,generic,marry,life,,04134f2be20afbb868d7a8292f49e277,h-1367,neg,", young girls forcefully married to much older men, and some in extreme cases married to Quran itself!",7,2625,married
2,em-665,actual,die,life,,08ebdc5f0ec8588af38ab1684318d99c,h-640,neg,A glaring example is the death of a small child in Australia who was electrocuted inside a wall.,5,1384,death
2,em-1292,generic,transferownership,transaction,voluntary,08ebdc5f0ec8588af38ab1684318d99c,h-1320,neg,An example there is fishing rights then natives trying to sell caught fish for profit.,4,3217,sell
2,em-977,actual,pardon,justice,,09098ae4e956a51b038876197814735e,h-950,pos,I remember being surprised when visiting American politicians tried to pour scorn on him after pardoning President Nixon.,9,398,pardoning
1,em-1273,actual,startposition,personnel,,0a421343005f3241376fa01e1cb3c6fb,h-1146,pos,"15 years later, my dad is in remission (thank goodness) back at work and my mum is now staying at home and being looked after.",12,264,back at work
1,em-1294,actual,startposition,personnel,,0a421343005f3241376fa01e1cb3c6fb,h-1146,pos,"He was alos diagnosed with a brain tumour throughout that time and survived and I am so prud of him for going back to work and for being so inspirational, and the same goes for my mum.",12,845,back to work
2,em-1357,actual,transfermoney,transaction,voluntary,0a421343005f3241376fa01e1cb3c6fb,h-1152,neg,That means she has only paid me about 9 times!,4,2382,paid
1,em-1378,actual,transfermoney,transaction,voluntary,0a421343005f3241376fa01e1cb3c6fb,h-1154,neg,I also pay for teh gas and electric and buy the main food shop per month.,3,2714,pay
1,em-1399,actual,transfermoney,transaction,voluntary,0a421343005f3241376fa01e1cb3c6fb,h-1154,neg,I also pay for the gas and electric and buy the main food shop per month.,3,4443,pay
1,em-1420,actual,transfermoney,transaction,voluntary,0a421343005f3241376fa01e1cb3c6fb,h-1156,neg,"I already pay the council tax, internet (which she is on 80% of the day), phone line, phone calls, sky tv and tv license.",3,2595,pay
1,em-1441,actual,transferownership,transaction,voluntary,0a421343005f3241376fa01e1cb3c6fb,h-1158,neg,I also pay for teh gas and electric and buy the main food shop per month.,3,2747,buy
1,em-1948,actual,transferownership,transaction,voluntary,0a421343005f3241376fa01e1cb3c6fb,h-1158,neg,I also pay for the gas and electric and buy the main food shop per month.,3,4476,buy
2,em-1462,actual,transferownership,transaction,voluntary,0a421343005f3241376fa01e1cb3c6fb,h-1160,neg,I also had to use my savings to buy a wshing machine when it broke down.,3,3106,buy
2,em-1483,actual,transferownership,transaction,voluntary,0a421343005f3241376fa01e1cb3c6fb,h-1162,neg,I also had to buy a new tv for the house as our old one we had for 17 years and broke.,3,3161,buy
2,em-1504,actual,transferownership,transaction,voluntary,0a421343005f3241376fa01e1cb3c6fb,h-1164,neg,"I had to pay for curtains because our flat is old, on a corner and freezing.",3,3243,pay
