em_arg_context,em_arg_entity_specificity,em_arg_entity_type,em_arg_id,em_arg_is_filler,em_arg_mention_id,em_arg_mention_length,em_arg_mention_noun_type,em_arg_mention_offset,em_arg_role,em_arg_text,event_mention_id,file,hopper_id
"Say what you want but that looks awfully close to murder and we're talking women and children here.Then, it looks like they also fired flash-bang devices which could easily set the ""gas"", really I think it's a powder, ablaze.The facts suggest we all watched the federal government murder a bunch of people they didn't like.Even if you wanted to arrest Koresh and others and think they are killers, what excuse is there for killing the children?The Courageous Italian Judge Felice Casson Was Responsible for the uncovering of ""Gladio"", the Italian Secret Army.Once Casson got the goods on those naughty naughty naughty little boys, then the Italian Prime Minister, Giulio Andreotti had to say something, confess in a sense.French President Francois Mitterrand back peddled furiously, but to no avail.",specific,PER,ent-72,0,m-456,12,NOM,2121,victim,the children,em-976,010aaf594ae6ef20eb28e3ee26038375,h-16
"than why the outrage over the Mosque at Ground Zero?For the same reason the local Glock dealer would not open up a store in the same strip mall where 20 people got shot, 6 killed.It's the decent and respectful thing to do.So what does it then say about Palin's having just accepted an invitation to speak at a GUN SHOW immediately AFTER the AZ shootings?That she has NO DECENCY AND RESPECT?",nonspecific,PER,ent-1482,0,m-1442,22,NOM,246,agent,the local Glock dealer,em-1448,026bd1c7eae9f14da9480a4b88ba2fb6,h-1502
"than why the outrage over the Mosque at Ground Zero?For the same reason the local Glock dealer would not open up a store in the same strip mall where 20 people got shot, 6 killed.It's the decent and respectful thing to do.So what does it then say about Palin's having just accepted an invitation to speak at a GUN SHOW immediately AFTER the AZ shootings?That she has NO DECENCY AND RESPECT?",nonspecific,ORG,ent-1485,0,m-1476,7,NOM,287,org,a store,em-1448,026bd1c7eae9f14da9480a4b88ba2fb6,h-1502
"than why the outrage over the Mosque at Ground Zero?For the same reason the local Glock dealer would not open up a store in the same strip mall where 20 people got shot, 6 killed.It's the decent and respectful thing to do.So what does it then say about Palin's having just accepted an invitation to speak at a GUN SHOW immediately AFTER the AZ shootings?That she has NO DECENCY AND RESPECT?",specific,FAC,ent-93,0,m-726,54,NOM,298,place,"the same strip mall where 20 people got shot, 6 killed",em-1448,026bd1c7eae9f14da9480a4b88ba2fb6,h-1502
"Take a step out of the trees once in a while and look at the forest.There is absolutely no evidence that supports OBL or terrorists being connected to the mosque in question.Use a ladder next time and climb out of the tree instead of falling on your head.For the same reason the local Glock dealer would not open up a store in the same strip mall where 20 people got shot, 6 killed.It's the decent and respectful thing to do.You are somehow equating the religion of a set of perpertators to a henous crime...that seem right to you, in the land of the free?What part of the reality that Muslim terrorists USE their religion to justify their terror, murder and mayhem, don't you grasp?",nonspecific,PER,ent-1482,0,m-1678,22,NOM,4826,agent,the local Glock dealer,em-1637,026bd1c7eae9f14da9480a4b88ba2fb6,h-1502
"Take a step out of the trees once in a while and look at the forest.There is absolutely no evidence that supports OBL or terrorists being connected to the mosque in question.Use a ladder next time and climb out of the tree instead of falling on your head.For the same reason the local Glock dealer would not open up a store in the same strip mall where 20 people got shot, 6 killed.It's the decent and respectful thing to do.You are somehow equating the religion of a set of perpertators to a henous crime...that seem right to you, in the land of the free?What part of the reality that Muslim terrorists USE their religion to justify their terror, murder and mayhem, don't you grasp?",nonspecific,ORG,ent-1485,0,m-1658,7,NOM,4867,org,a store,em-1637,026bd1c7eae9f14da9480a4b88ba2fb6,h-1502
"Take a step out of the trees once in a while and look at the forest.There is absolutely no evidence that supports OBL or terrorists being connected to the mosque in question.Use a ladder next time and climb out of the tree instead of falling on your head.For the same reason the local Glock dealer would not open up a store in the same strip mall where 20 people got shot, 6 killed.It's the decent and respectful thing to do.You are somehow equating the religion of a set of perpertators to a henous crime...that seem right to you, in the land of the free?What part of the reality that Muslim terrorists USE their religion to justify their terror, murder and mayhem, don't you grasp?",specific,FAC,ent-93,0,m-714,54,NOM,4878,place,"the same strip mall where 20 people got shot, 6 killed",em-1637,026bd1c7eae9f14da9480a4b88ba2fb6,h-1502
"So, you want to protect or retain a culture, which sanctifies the practices ofhonour killing,bride burning,acid throwing, the abominable practice of",nonspecific,PER,ent-1137,0,m-1131,5,NOM,2086,target,bride,em-1110,04134f2be20afbb868d7a8292f49e277,h-1140
"So, you want to protect or retain a culture, which sanctifies the practices ofhonour killing,bride burning,acid throwing, the abominable practice of",nonspecific,PER,ent-1137,0,m-1131,5,NOM,2086,victim,bride,em-1142,04134f2be20afbb868d7a8292f49e277,h-1163
",acid throwing, the abominable practice offemale genital mutilation, andsexual abuse ?",nonspecific,PER,ent-1238,0,m-1232,6,NOM,2303,target,female,em-1211,04134f2be20afbb868d7a8292f49e277,h-1241
