content,file,entity_id,entity_type,entity_specificity,mention_id,mention_text,mention_type,mention_offset,label_polarity
"After all, when it comes to NATO, we, the Americans, are the big Cheetos, ain't we?So if you want a name LSSBB, there really is only one, the Great Italian judge, Felice Casson.The only guy both smart and brave enough to pull it off, expose the thing.",010aaf594ae6ef20eb28e3ee26038375,ent-27,PER,specific,m-246,Felice Casson,NAM,3290,pos
"I have many friends and a large family in Sicily.My friends and family revere Casson, as do many Italians, more for his courage than anything else.He is like Giovanni Falcone, the magistrate from Palermo who was so successful in prosecuting Mafia guys in the Maxi Trials, and got blown up for it along with his family.",010aaf594ae6ef20eb28e3ee26038375,ent-27,PER,specific,m-252,Casson,NAM,3612,pos
"BEAUTIFUL!!!!BRAVO CASSON, BRAVO!!!!!!!So there Greg, the NATO SECRET ARMY CONSPIRACY, a conspiracy that endured from 1945 through 1990, 45 years, with activities that included the murdering of innocent people, including children, to create fear in the hearts of Europeans so US military interests could park nukes in the Europeans' front yards.",010aaf594ae6ef20eb28e3ee26038375,ent-27,PER,specific,m-258,CASSON,NAM,4024,pos
"My friends and family revere Casson, as do many Italians, more for his courage than anything else.He is like Giovanni Falcone, the magistrate from Palermo who was so successful in prosecuting Mafia guys in the Maxi Trials, and got blown up for it along with his family.People love these guys, admire their courage.",010aaf594ae6ef20eb28e3ee26038375,ent-27,PER,specific,m-264,He,PRO,3682,pos
"People love these guys, admire their courage.One little Italian judge, showed NATO where they could stick it, right up their chicken _ _ _ _ butts.BEAUTIFUL!!!!",010aaf594ae6ef20eb28e3ee26038375,ent-27,PER,specific,m-276,One little Italian judge,NOM,3901,pos
"So if you want a name LSSBB, there really is only one, the Great Italian judge, Felice Casson.The only guy both smart and brave enough to pull it off, expose the thing.Mind boggling really, one dude vs NATO!",010aaf594ae6ef20eb28e3ee26038375,ent-27,PER,specific,m-282,"The only guy both smart and brave enough to pull it off, expose the thing",NOM,3305,pos
"None
The Courageous Italian Judge Felice Casson Was Responsible for the uncovering of ""Gladio"", the Italian Secret Army.Once Casson got the goods on those naughty naughty naughty little boys, then the Italian Prime Minister, Giulio Andreotti had to say something, confess in a sense.",010aaf594ae6ef20eb28e3ee26038375,ent-27,PER,specific,m-1128,The Courageous Italian Judge,NOM,2242,pos
"After all, when it comes to NATO, we, the Americans, are the big Cheetos, ain't we?So if you want a name LSSBB, there really is only one, the Great Italian judge, Felice Casson.The only guy both smart and brave enough to pull it off, expose the thing.",010aaf594ae6ef20eb28e3ee26038375,ent-27,PER,specific,m-1169,the Great Italian judge,NOM,3265,pos
"The only guy both smart and brave enough to pull it off, expose the thing.Mind boggling really, one dude vs NATO!Incredibile!!!",010aaf594ae6ef20eb28e3ee26038375,ent-27,PER,specific,m-1185,one dude,NOM,3402,pos
"There only remained a few remnants, of which I learned the existence with some surprise because everyone had forgotten about them.""To his credit, Andriotti called Mitterrand a coward in so many words for not being man enough if not to admit to his own complicity, which Mitterrand was, COMPLICITOUS, to at least to acknowledge the French Secret Army's robust activities.It all fell like a house of cards after that, and things lead right to our front door.",010aaf594ae6ef20eb28e3ee26038375,ent-24,PER,specific,m-174,Mitterrand,NAM,2937,neg
