file,label_polarity,rel_arg1_context,rel_arg1_entity_specificity,rel_arg1_entity_type,rel_arg1_id,rel_arg1_mention_id,rel_arg1_mention_length,rel_arg1_mention_noun_type,rel_arg1_mention_offset,rel_arg1_role,rel_arg1_text,rel_arg2_context,rel_arg2_entity_specificity,rel_arg2_entity_type,rel_arg2_id,rel_arg2_is_filler,rel_arg2_mention_id,rel_arg2_mention_length,rel_arg2_mention_noun_type,rel_arg2_mention_offset,rel_arg2_role,rel_arg2_text,relation_id,relation_mention_id,relation_mention_realis,relation_subtype,relation_type,trigger_context,trigger_length,trigger_offset,trigger_text
04134f2be20afbb868d7a8292f49e277,pos,"However, after watching the documentary and various other programs and films on Pakistan I am absolutely shocked.I may be wrong when I say this, but was Pakistan not founded as a Muslim state, yet only 64 years on and I don't think the country matches the vision it was initially created with.It seems that the higher class are obsessed with imitating and adopting western culture, in a sense it boosts their superiority complex.I actually find it shocking, that most families who moved to England in the 60's like my grandfather have managed to maintain that cultural pride and certain traditions that have been lost among certain groups of people in Pakistan.Drinking is a common practice with the upper class society and personally I find it quite upsetting, it seems as if Pakistan is moving in the opposite direction- the rich becoming more obsessed with western culture and the less well off being neglected further.Also whilst I'm on this topic, has anyone seen the film 'Slackistan' and what were your views?Thank for reading my thoughts!",specific,PER,ent-27,m-342,14,NOM,1297,per,my grandfather,"However, after watching the documentary and various other programs and films on Pakistan I am absolutely shocked.I may be wrong when I say this, but was Pakistan not founded as a Muslim state, yet only 64 years on and I don't think the country matches the vision it was initially created with.It seems that the higher class are obsessed with imitating and adopting western culture, in a sense it boosts their superiority complex.I actually find it shocking, that most families who moved to England in the 60's like my grandfather have managed to maintain that cultural pride and certain traditions that have been lost among certain groups of people in Pakistan.Drinking is a common practice with the upper class society and personally I find it quite upsetting, it seems as if Pakistan is moving in the opposite direction- the rich becoming more obsessed with western culture and the less well off being neglected further.Also whilst I'm on this topic, has anyone seen the film 'Slackistan' and what were your views?Thank for reading my thoughts!",specific,PER,ent-8,0,m-192,2,PRO,1297,per,my,r-96,relm-592,true,family,personalsocial,"I actually find it shocking, that most families who moved to England in the 60's like my grandfather have managed to maintain that cultural pride and certain traditions that have been lost among certain groups of people in Pakistan.",11,1300,grandfather
04134f2be20afbb868d7a8292f49e277,pos,"I apologise in advance if there is something similar to this thread, but this is a topic that has interested me recently and would just like to hear your views on the matter.I'm a British Pakistani, born and brought up in London, however I would say I am very much in touch with my roots and my views lean more towards the traditional and conservative side.Recently I watched a documentary by Saira Khan 'Don't tell my Mother I am in Pakistan', made a few years ago, yet a very interesting watch.I have been on holiday to Pakistan a fair amount of times, and have traveled throughout the country, so I thought I had a pretty accurate idea of the country as a whole and it's people.However, after watching the documentary and various other programs and films on Pakistan I am absolutely shocked.",specific,PER,ent-8,m-78,1,PRO,269,per,I,"I apologise in advance if there is something similar to this thread, but this is a topic that has interested me recently and would just like to hear your views on the matter.I'm a British Pakistani, born and brought up in London, however I would say I am very much in touch with my roots and my views lean more towards the traditional and conservative side.Recently I watched a documentary by Saira Khan 'Don't tell my Mother I am in Pakistan', made a few years ago, yet a very interesting watch.I have been on holiday to Pakistan a fair amount of times, and have traveled throughout the country, so I thought I had a pretty accurate idea of the country as a whole and it's people.However, after watching the documentary and various other programs and films on Pakistan I am absolutely shocked.",specific,GPE,ent-42,0,m-986,9,NAM,283,entity,Pakistani,r-98,relm-612,true,more,generalaffiliation,"I'm a British Pakistani, born and brought up in London, however I would say I am very much in touch with my roots and my views lean more towards the traditional and conservative side.",9,283,Pakistani
04134f2be20afbb868d7a8292f49e277,neg,"world's third most dangerous country for women to live in?Yet you're worried about upper classes choosing to indulge in a bit of harmless fun? As a Pakistani, I welcome western influence on our culture - it might help Pakistan to become a more civilized society.Edit: I watched that Saira Khan's documentary you're referring to a few months ago.I would like to know what you found so offensive?She was sympathetic to the plight of transgender community in Pakistan - isn't that a positive thing?",specific,PER,ent-21,m-324,1,PRO,3145,per,I,"world's third most dangerous country for women to live in?Yet you're worried about upper classes choosing to indulge in a bit of harmless fun? As a Pakistani, I welcome western influence on our culture - it might help Pakistan to become a more civilized society.Edit: I watched that Saira Khan's documentary you're referring to a few months ago.I would like to know what you found so offensive?She was sympathetic to the plight of transgender community in Pakistan - isn't that a positive thing?",specific,GPE,ent-42,0,m-468,9,NAM,3134,entity,Pakistani,r-99,relm-622,true,more,generalaffiliation," As a Pakistani, I welcome western influence on our culture - it might help Pakistan to become a more civilized society.",9,3134,Pakistani
0648a08469a3be9eb972f0d213562805,neg,"Well, that's it.That's why I no longer laugh at them.I prefer to spit.Those idiots at the memorial last week...hmmm, let's just say, I wish everyone there had just flicked the V sign at them and thrown the odd bottle of urine, just as if it was a crap band on the stage.Bananaman (The pissed off)p.s.admittedly I did get a little emotional, but not in a good way.As the eager easily-duped suburban kids move on to new fads and become thin on the ground and the ""say anything as long as it's against Bush"" contingent see increasing alternative avenues for their political disaffection, we're seeing the residue of the movement and their nature and motivations are becoming clearer.",nonspecific,PER,ent-1267,m-1261,24,NOM,1577,entity,a crap band on the stage,"Well, that's it.That's why I no longer laugh at them.I prefer to spit.Those idiots at the memorial last week...hmmm, let's just say, I wish everyone there had just flicked the V sign at them and thrown the odd bottle of urine, just as if it was a crap band on the stage.Bananaman (The pissed off)p.s.admittedly I did get a little emotional, but not in a good way.As the eager easily-duped suburban kids move on to new fads and become thin on the ground and the ""say anything as long as it's against Bush"" contingent see increasing alternative avenues for their political disaffection, we're seeing the residue of the movement and their nature and motivations are becoming clearer.",nonspecific,FAC,ent-1276,0,m-1270,9,NOM,1592,loc,the stage,r-117,relm-1298,false,locatednear,physical,"Those idiots at the memorial last week...hmmm, let's just say, I wish everyone there had just flicked the V sign at them and thrown the odd bottle of urine, just as if it was a crap band on the stage.",2,1589,on
0659c87d9fd3d5efd258ee6de3ba1003,pos,"I happened to watch a news review on Sky News this morning in which a bunch of journo's were bleating on that we shouldn't condemn all the ""innocent"" and hard working journalists at News International just because a whole bunch of hacks at the Sun were arrested... because that would cause untold damage to the whole media industry.Oh poor them.This is precsisely, is it not?, what the whole media has been doing to the banking industry for the last two years or so?Total hypocrisy.",specific,PER,ent-42,m-168,69,NOM,197,employeemember,"all the ""innocent"" and hard working journalists at News International","I happened to watch a news review on Sky News this morning in which a bunch of journo's were bleating on that we shouldn't condemn all the ""innocent"" and hard working journalists at News International just because a whole bunch of hacks at the Sun were arrested... because that would cause untold damage to the whole media industry.Oh poor them.This is precsisely, is it not?, what the whole media has been doing to the banking industry for the last two years or so?Total hypocrisy.",specific,ORG,ent-63,0,m-228,18,NAM,248,org,News International,r-118,relm-270,true,employmentmembership,orgaffiliation,"I happened to watch a news review on Sky News this morning in which a bunch of journo's were bleating on that we shouldn't condemn all the ""innocent"" and hard working journalists at News International just because a whole bunch of hacks at the Sun were arrested... because that would cause untold damage to the whole media industry.",2,245,at
0659c87d9fd3d5efd258ee6de3ba1003,neg,"I happened to watch a news review on Sky News this morning in which a bunch of journo's were bleating on that we shouldn't condemn all the ""innocent"" and hard working journalists at News International just because a whole bunch of hacks at the Sun were arrested... because that would cause untold damage to the whole media industry.Oh poor them.This is precsisely, is it not?, what the whole media has been doing to the banking industry for the last two years or so?Total hypocrisy.",specific,PER,ent-45,m-174,33,NOM,280,employeemember,a whole bunch of hacks at the Sun,"I happened to watch a news review on Sky News this morning in which a bunch of journo's were bleating on that we shouldn't condemn all the ""innocent"" and hard working journalists at News International just because a whole bunch of hacks at the Sun were arrested... because that would cause untold damage to the whole media industry.Oh poor them.This is precsisely, is it not?, what the whole media has been doing to the banking industry for the last two years or so?Total hypocrisy.",specific,ORG,ent-66,0,m-234,3,NAM,310,org,Sun,r-119,relm-280,true,employmentmembership,orgaffiliation,"I happened to watch a news review on Sky News this morning in which a bunch of journo's were bleating on that we shouldn't condemn all the ""innocent"" and hard working journalists at News International just because a whole bunch of hacks at the Sun were arrested... because that would cause untold damage to the whole media industry.",2,303,at
086e26ec92d1cc02f3900e9ac46d6962,pos,"I feel you are a good man, I truly like you.One person's higher morals - another person sees as a fault.In the end we are all the same and we return to worm food!I think the guys that fled to Canada were heros too.They gave up the comforts of home and being surrounded by friends and family let alone there status as wanted criminals.Everyone made choices in that horrible war, we all wre affected.No one experience is more than any other.",specific,PER,ent-75,m-711,28,NOM,3953,entity,the guys that fled to Canada,"I feel you are a good man, I truly like you.One person's higher morals - another person sees as a fault.In the end we are all the same and we return to worm food!I think the guys that fled to Canada were heros too.They gave up the comforts of home and being surrounded by friends and family let alone there status as wanted criminals.Everyone made choices in that horrible war, we all wre affected.No one experience is more than any other.",specific,GPE,ent-99,0,m-795,6,NAM,3975,loc,Canada,r-144,relm-885,true,locatednear,physical,I think the guys that fled to Canada were heros too.,4,3967,fled
08ebdc5f0ec8588af38ab1684318d99c,neg,Whatever happened to being in tune with nature?Addictions and sexual abuse run high.Communities in Canada and Australia outright ban alcohol in a vain effort to stem problems.Jails are filled with them and the life expectancy is much lower than the rest of both countries.I'm getting tired of seeing it and wondering what can be done.The bleeding heart efforts have done nothing but bred a generation of people who refuse to work and blame everyone for their issues.A glaring example is the death of a small child in Australia who was electrocuted inside a wall.,specific,PER,ent-991,m-1024,4,PRO,1086,entity,them,Whatever happened to being in tune with nature?Addictions and sexual abuse run high.Communities in Canada and Australia outright ban alcohol in a vain effort to stem problems.Jails are filled with them and the life expectancy is much lower than the rest of both countries.I'm getting tired of seeing it and wondering what can be done.The bleeding heart efforts have done nothing but bred a generation of people who refuse to work and blame everyone for their issues.A glaring example is the death of a small child in Australia who was electrocuted inside a wall.,specific,FAC,ent-1201,0,m-1195,5,NOM,1064,loc,Jails,r-207,relm-1204,true,locatednear,physical,Jails are filled with them and the life expectancy is much lower than the rest of both countries.,6,1074,filled
0a421343005f3241376fa01e1cb3c6fb,pos,"Hi All,I love my parents to pieces.To cut a long story short, my dad had cancer - given 6 weeks to live.My mum gave up work to look after him.15 years later, my dad is in remission (thank goodness) back at work and my mum is now staying at home and being looked after.",specific,PER,ent-18,m-618,10,NOM,77,per,my parents,"Hi All,I love my parents to pieces.To cut a long story short, my dad had cancer - given 6 weeks to live.My mum gave up work to look after him.15 years later, my dad is in remission (thank goodness) back at work and my mum is now staying at home and being looked after.",specific,PER,ent-8,0,m-60,2,PRO,77,per,my,r-235,relm-1062,true,family,personalsocial,"Hi All,I love my parents to pieces.",7,80,parents
0a421343005f3241376fa01e1cb3c6fb,neg,"She would rather by food and I understand this as she has been brought up that spoiling yourself is done via food.I also had to use my savings to buy a wshing machine when it broke down.I also had to buy a new tv for the house as our old one we had for 17 years and broke.I had to pay for curtains because our flat is old, on a corner and freezing.I had to buy carpets because we had bare concrete floors.I dont understand where my parents money goes!I know they are not saving and I just cant understand!",specific,FAC,ent-42,m-1050,8,NOM,3268,entity,our flat,"She would rather by food and I understand this as she has been brought up that spoiling yourself is done via food.I also had to use my savings to buy a wshing machine when it broke down.I also had to buy a new tv for the house as our old one we had for 17 years and broke.I had to pay for curtains because our flat is old, on a corner and freezing.I had to buy carpets because we had bare concrete floors.I dont understand where my parents money goes!I know they are not saving and I just cant understand!",specific,LOC,ent-45,0,m-1056,8,NOM,3288,loc,a corner,r-242,relm-1132,true,locatednear,physical,"I had to pay for curtains because our flat is old, on a corner and freezing.",2,3285,on
0ba982819aaf9f5b94a7cebd48ac6018,neg,"I wonder if Jeb would bow before the the Saudi Monarch, hold his hand, and walk on grass so that the filthy muslim dictator could use the concrete sidewalk like your tyrannical hero George the II did?Of course he would.The Bushes have been in bed with the Saudis for decades.Why do you think Bush let all the Saudis get out of the country on chartered jets so fast after 9/11?He's as good as.Maybe even better because he knows how to run a big state.Florida did well while he was Gov.",specific,PER,ent-51,m-540,14,NOM,420,entity,all the Saudis,"I wonder if Jeb would bow before the the Saudi Monarch, hold his hand, and walk on grass so that the filthy muslim dictator could use the concrete sidewalk like your tyrannical hero George the II did?Of course he would.The Bushes have been in bed with the Saudis for decades.Why do you think Bush let all the Saudis get out of the country on chartered jets so fast after 9/11?He's as good as.Maybe even better because he knows how to run a big state.Florida did well while he was Gov.",specific,GPE,ent-60,0,m-564,11,NOM,446,loc,the country,r-245,relm-676,true,locatednear,physical,Why do you think Bush let all the Saudis get out of the country on chartered jets so fast after 9/11?,2,443,of
0ba982819aaf9f5b94a7cebd48ac6018,pos,"Why do you think Bush let all the Saudis get out of the country on chartered jets so fast after 9/11?He's as good as.Maybe even better because he knows how to run a big state.Florida did well while he was Gov.And Jeb's executive experience would come in handy as a Senator... how?Ya got it scrambled:His senate experience will compliment his executive experience for the next rung on the ladder.Hell, America just elected a junior Senator with zero executive experince.",specific,PER,ent-18,m-102,2,PRO,769,leader,he,"Why do you think Bush let all the Saudis get out of the country on chartered jets so fast after 9/11?He's as good as.Maybe even better because he knows how to run a big state.Florida did well while he was Gov.And Jeb's executive experience would come in handy as a Senator... how?Ya got it scrambled:His senate experience will compliment his executive experience for the next rung on the ladder.Hell, America just elected a junior Senator with zero executive experince.",specific,GPE,ent-63,0,m-642,7,NAM,746,entity,Florida,r-246,relm-686,true,leadership,orgaffiliation,Florida did well while he was Gov.,3,776,Gov
0ba982819aaf9f5b94a7cebd48ac6018,pos,The Bushes have been in bed with the Saudis for decades.Why do you think Bush let all the Saudis get out of the country on chartered jets so fast after 9/11?He's as good as.Maybe even better because he knows how to run a big state.Florida did well while he was Gov.And Jeb's executive experience would come in handy as a Senator... how?Ya got it scrambled:His senate experience will compliment his executive experience for the next rung on the ladder.,specific,PER,ent-18,m-96,2,PRO,713,leader,he,The Bushes have been in bed with the Saudis for decades.Why do you think Bush let all the Saudis get out of the country on chartered jets so fast after 9/11?He's as good as.Maybe even better because he knows how to run a big state.Florida did well while he was Gov.And Jeb's executive experience would come in handy as a Senator... how?Ya got it scrambled:His senate experience will compliment his executive experience for the next rung on the ladder.,specific,GPE,ent-63,0,m-648,11,NOM,733,entity,a big state,r-246,relm-945,true,leadership,orgaffiliation,Maybe even better because he knows how to run a big state.,3,729,run
